,CCS,PrecIntensity,PrecMz,Precursor,RetTime,reps,Sample
339,137.79500000000002,504550.5,219.1753,Z1MZ219TIM3P5,3.8834999999999997,2.0,SW218968-1
340,137.985,1453680.5,219.1779,Z1MZ219TIM3P6,3.1065,2.0,SW218968-1
341,137.765,32812.5,219.3023,Z1MZ219TIM3P7,3.304,2.0,SW218968-1
342,124.22,522907.0,219.0581,Z1MZ219TIM3P8,3.5605,2.0,SW218968-1
343,282.735,140677.0,281.1003,Z2MZ281TIM3P1,3.556,2.0,SW218968-1
344,185.995,404635.5,457.46295,Z1MZ457TIM5P1,5.2545,2.0,SW218968-1
345,185.125,159453.0,415.17555000000004,Z1MZ415TIM4P1,4.154999999999999,2.0,SW218968-1
346,145.695,11793166.0,241.1746,Z1MZ241TIM5P1,5.2545,2.0,SW218968-1
347,150.95,76083.0,325.06345,Z1MZ325TIM4P1,4.6395,2.0,SW218968-1
348,138.19,80041.0,219.175,Z1MZ219TIM2P1,2.7925,2.0,SW218968-1
349,138.62,413499.0,219.3016,Z1MZ219TIM2P2,2.8569999999999998,2.0,SW218968-1
350,138.95499999999998,73142.0,219.21859999999998,Z1MZ219TIM2P3,2.9539999999999997,2.0,SW218968-1
351,138.64,18956142.5,219.1828,Z1MZ219TIM2P4,2.8795,2.0,SW218968-1
352,102.03999999999999,90690.0,152.06295,Z1MZ152TIM3P1,3.5605,2.0,SW218968-1
353,204.085,105010.5,627.03165,Z1MZ627TIM3P1,3.6220000000000003,2.0,SW218968-1
354,112.33500000000001,74362.0,163.11265,Z1MZ163TIM4P1,4.747999999999999,2.0,SW218968-1
355,237.785,935061.0,621.4173499999999,Z1MZ621TIM4P1,4.814,2.0,SW218968-1
356,132.19,2108307.5,204.1429,Z1MZ204TIM4P1,4.7524999999999995,2.0,SW218968-1
357,111.46,45896.5,181.0756,Z1MZ181TIM3P1,3.4295,2.0,SW218968-1
358,146.0,289276.5,241.3071,Z1MZ241TIM4P1,4.2105,2.0,SW218968-1
359,145.965,81131.5,241.43985,Z1MZ241TIM4P2,4.2545,2.0,SW218968-1
